Name,Notes,Prompt,Type
Prompt,,Act as world-class social media expert. I am a [title] in [niche] and I help [audience] to achieve [goals]. Create 30 content ideas for Instagram that speak directly to my audience’s pain points & goals that are actionable and engaging.,Content Ideas
Prompt,,Write copy for a social media post highlighting a unique use case or application for [service/product].,Product/Service
Prompt,,"Craft a content calendar with [number] blog post ideas, including these keywords [insert keywords]. Spread the blog posts out across 3 months.",Blog Post
Prompt,,"Suggest ___ ideas for a social media poll on the [topic] ",Content Ideas
Prompt,,"I write for [audience]. Their biggest goal is [goal].

Give me 50 post ideas that’ll help them with [goal].

Make them about helpful strategies, not emotions.",Content Ideas
Prompt,,"Polish this newsletter to improve the tone, style, and structure. Maintain a [specify tone] tone. Keep it under [specify word limit]",Email Marketing
Prompt,,"Write a catchy caption about [topic] and try to play with words to make it fun, engage users in the end, ask them questions, use relevant emojis.",Caption & Hashtags
Prompt,That'll give you 100 post ideas.,"I write for [detailed description of audience]. First, list their top 20 pain points. Then, for each pain point, suggest 5 problem-solving content
ideas.",Content Ideas
Prompt,,Please share interesting stats about [insert the topic here] that very few people are talking about. Please cite your sources.,Content Research
Prompt,,"Give me insights of my audience pain points, challenge and goals. My audience is in [niche]",Content Research
Prompt,,What are the top trends in [industry/niche] in 2024?,Content Research
Prompt,,Structure an attention-grabbing Instagram carousel post highlighting [insert brand/product features].,Product/Service
Prompt,,"Act as world-class social media marketing expert. Write Instagram bio that is 3 lines and a maximum of 150 characters for an expert in [topic] who helps [audience] get [result]. Use appropriate emojis & simple, fun & professional language",Social Media Bio
Prompt,,"Act as world-class social media expert. I am a [title] in [niche] and I help [audience] to achieve [goals]. Create a content strategy that captures of non-followers, positions me as the expert and drivers sales & engagement. ",Content Strategy
Prompt,,Suggest [number] hashtags about [topic] for my recent Instagram post.,Caption & Hashtags
Prompt,,Write a list of compelling Call to Actions to sell my [product/service] on [social media platform],Product/Service
Prompt,,Create a TikTok video idea demonstrating [topic].,Content Ideas
Prompt,,Act as world-class copywriter expert. I write an Instagram post on [topic]. Please improve the readability and tone and make it more engaging. Please make sure that it is optimized with keywords for SEO!,Content Strategy
Prompt,75 content ideas. Instantly.,"I write for [audience]. Give me:
1. ﻿﻿﻿25 questions they might have about [their top goal].
2. ﻿﻿﻿25 tactical problems problems they have with [goal].
3. ﻿﻿﻿25 emotional problems problems they have with [goal].
75 content ideas. Instantly.",Content Ideas
Prompt,That will give you 10 content baskets and 200 post ideas,"I create content about [broad topic]. Split that up into 10 smaller topics, then give me 20 [preferred platform] post ideas for each smaller topic",Content Ideas
Prompt,,I'm writing a post about cognitive biases in marketing. Give me 15 that I might include in it.,Content Ideas
Prompt,,"I am looking to sell a [product/service]. Write me a catchy landing page copy in a well organized way. ",Product/Service
Prompt,,Write a list of engaging headlines for my blog title [title]. Tone [Friendly/witty/curious/personal],Blog Post
Prompt,,"Act as world-class media marketing expert. Please write an Instagram caption for [topic] for [target audience] to help achieve [goal]. Please write in a simple, fun & professional writing style. Please use the AIDA method. ",Caption & Hashtags
Prompt,,"Act as world-class social media expert. I am a [title] in [niche] and I help [audience] to achieve [goals]. Please write an Instagram Bio max. 150 characters, that attracts and converts visitors into followers. Use an emoji at the start of each line and end with a strong CTA.",Social Media Bio
