#,UI Name,Description
67,Dense Table View,Table rows reduced in height for displaying large datasets in admin panels.
68,Compact Kanban Mini‑Board,Three short columns meant for sidebar widgets rather than full boards.
69,Timeline Gantt Hybrid,Vertical timeline down the left with horizontal bars depicting durations per row.
70,Chat Split View,"Left list of conversations, right pane for active chat with sticky message input."
71,Accordion Sidebar Menu,Sidebar groups nav links into collapsible accordion sections.
72,Dual‑Header Table,Two stacked header rows—primary category plus secondary labels—for complex data.
73,Sticky Column List,"First column (e.g., names) stays fixed while remaining list area scrolls horizontally."
74,Lazy‑Load Infinite Grid,Masonry grid that fetches and appends new items only when they enter viewport.
75,Compact Card Slider,Horizontal track of small cards with snap points—good for related products.
76,Z‑Index Layered Layout,"Overlapping sections with intentional z‑index stacking to create depth (hero over nav, etc.)."
77,Multi‑Step Wizard Sidebar,Sidebar shows step checklist; main area swaps content per step—great for sign‑ups.
78,Right‑Aligned Content Layout,"Primary column anchored to the right edge, leaving whitespace on the left for asymmetry."
79,Content + Sticky Action Bar,"Bottom‑fixed action bar (save, share) that appears once the user scrolls past hero."
80,Full‑Viewport Scroll Snap Panels,Each section occupies 100 vh and snaps neatly as the user scrolls—ideal for pitch decks.
