#,UI Name,Description
97,Form Hint Tooltip,A small “?” icon that reveals extra guidance when hovered or tapped.
98,Inline Help Popover,Pops a short explanation bubble beside the field without leaving the page.
99,Address Formatter Preview,"Shows how the entered street, city, and zip will look on a mailing label in real time."
100,Masked Currency Field,Automatically adds commas and decimal places while typing amounts.
101,Drag‑and‑Drop Reorder List,Lets users drag list items up or down to define a custom order within the form.
102,Form Error Summary Banner,A colored bar at the top of the page that lists every validation mistake after submission and links users back to each field.
103,Success Toast Notification,A small pop‑up that briefly appears in the corner confirming the form was saved or sent.
104,Required Field Indicator,An automatic red asterisk (with aria‑required) added to labels so users know which inputs are mandatory.
105,Screen‑Reader‑Only Label,A hidden text label that pairs with icon‑only inputs to keep them understandable for assistive technology.
106,Fieldset with Legend,A visual box that groups related inputs under a titled legend like “Billing Address.”
107,Collapsible Form Section,"An accordion panel that hides or reveals long sets of fields, keeping multi‑step forms tidy."
108,Matrix Rating Table,"A grid where each row is a statement and each column is a rating option (e.g., 1–5), so surveys stay compact."
109,Spreadsheet‑Like Grid Input,An editable table that lets users type straight into cells to add multiple rows of data quickly.
110,Date‑Masked Input,Forces an MM/DD/YYYY pattern and auto‑inserts slashes so dates are always valid.
111,Time‑Masked Input,"Guides users to enter hours and minutes in HH:MM format, adding the colon for them."
112,Postal‑Code Masked Input,Automatically capitalizes letters and adds the right spacing for locale‑specific ZIP or post codes.
