UI Name,#,Description
Captcha Image Puzzle,92,Shows a small jigsaw‑style image puzzle users slide together to prove they’re human.
Checkbox,8,A small square that users tick or untick to say “yes” or “no” to an option.
Markdown Editor,38,A split‑view box where users write markdown and see a live preview.
Screen‑Reader‑Only Label,105,A hidden text label that pairs with icon‑only inputs to keep them understandable for assistive technology.
Image Cropper Upload,60,Opens a simple crop tool so users can trim and zoom photos before saving.
Debounced Search Input,56,"Waits a short moment after typing stops before firing the search, cutting server calls."
Input with Icon Suffix,54,Places an icon (like an eye or calendar) at the end of the field to clarify its purpose.
Success Toast Notification,103,A small pop‑up that briefly appears in the corner confirming the form was saved or sent.
Segmented Control,74,A pill‑shaped bar divided into two or three segments acting like exclusive tabs.
Time‑Masked Input,111,"Guides users to enter hours and minutes in HH:MM format, adding the colon for them."
Map Address Picker,67,Opens an interactive map where users drop a pin and the address fills automatically.
Date‑Range Picker,14,Two linked calendars that capture a start and end date in one smooth interaction.
